CxG,schematicity,Premise,Hypothesis,Gold,Prediction
intransitive-motion,schematic,"Dade County and federal authorities, learning that he intended to FLY through Miami, made plans to arrest him on the gun-running charges as soon as he hit U.S. soil.","Dade County and federal authorities, didn't know that he intended to FLY through Miami, so they didn't make plans to arrest him on the gun-running charges as soon as he hit U.S. soil.",2,2
intransitive-motion,schematic,"Dade County and federal authorities, learning that he intended to FLY through Miami, made plans to arrest him on the gun-running charges as soon as he hit U.S. soil.",Dade County and federal authorities made plans to arrest him on the gun-running charges as soon as he touched U.S. soil once they learned he intended to fly into Miami.,0,0
intransitive-motion,schematic,"Oguz said that anyone FLYING over the major opium producing areas would see a lot of small fires in the mountains, which are heroin labs.",Major opium producing areas that house heroin labs are able to be spotted by looking for small fires from high above.,1,0
intransitive-motion,schematic,"Oguz said that anyone FLYING over the major opium producing areas would see a lot of small fires in the mountains, which are heroin labs.","Oguz said that anyone FLYING over the major opium producing areas would not be able to see any small fires in the mountains, which are heroin labs.",2,0
intransitive-motion,schematic,"Oguz said that anyone FLYING over the major opium producing areas would see a lot of small fires in the mountains, which are heroin labs.","Anyone would be able to see a lot of small fires in the mountains, which are heroin labs, if you are flying over major opium producing areas said Oguz.",0,0
intransitive-motion,schematic,"Each year , over 50,000 migratory birds FLY over Hong Kong 's skyscrapers and choose to roost for winter here .","Each year , over 50,000 migratory birds FLY over Hong Kong 's skyscrapers and have inspired beautiful art for generations.",1,1
intransitive-motion,schematic,"Each year , over 50,000 migratory birds FLY over Hong Kong 's skyscrapers and choose to roost for winter here .","Each year , over 50,000 migratory birds go around Hong Kong 's skyscrapers and choose to not roost for winter here .",2,2
intransitive-motion,schematic,"Each year , over 50,000 migratory birds FLY over Hong Kong 's skyscrapers and choose to roost for winter here .","Over 50,000 migratory birds choose to roost for winter each year as they fly over Hong Kong's skyscrapers.",0,0
intransitive-motion,schematic,But it's all FLYING right over your head.,They are not understanding the point.,1,0
intransitive-motion,schematic,But it's all FLYING right over your head.,But it's all sticking in your head.,2,1
intransitive-motion,schematic,But it's all FLYING right over your head.,But it's all going right over your head.,0,0
intransitive-motion,schematic,"It will be like you're FLOATING along fine, then in an instant, you are caught up in this huge swell of the urge to smoke.",Quitting smoking may imrove your ability to swim and complete other cardiovascular exercises.,1,1
intransitive-motion,schematic,"It will be like you're FLOATING along fine, then in an instant, you are caught up in this huge swell of the urge to smoke.","It will be like you're stopped, unable to move, then finally you are freed by the urge to smoke.",2,1
intransitive-motion,schematic,"It will be like you're FLOATING along fine, then in an instant, you are caught up in this huge swell of the urge to smoke.",In an instant you will be caught up in this huge urge to smoke after feeling like you're floating along fine.,0,0
intransitive-motion,schematic,The law will probably JUMP back and forth in the coming years.,Laws change all the time throughout the years.,1,0
intransitive-motion,schematic,The law will probably JUMP back and forth in the coming years.,The law will probably stay the same in the coming years.,2,2
intransitive-motion,schematic,The law will probably JUMP back and forth in the coming years.,In the coming years the law will most likely jump back and forth.,0,0
intransitive-motion,schematic,The 23 frantically SCRAMBLED to the rear of the sub.,The 23 are scared the sub is sinking.,1,1
intransitive-motion,schematic,The 23 frantically SCRAMBLED to the rear of the sub.,The 23 were calm at the rear of the sub.,2,2
intransitive-motion,schematic,The 23 frantically SCRAMBLED to the rear of the sub.,The rear of the sub had 23 frantically scrambling towards it.,0,0
intransitive-motion,schematic,IRNA reported that Gomshadzehi killed a policeman and then ESCAPED to Dubai in the United Arab Emirates while trafficking drugs in 2003.,There is a criminal named Gomshadzehi who did not care about the lives of others or himself when he carried out his crimes in 2003.,1,1
intransitive-motion,schematic,IRNA reported that Gomshadzehi killed a policeman and then ESCAPED to Dubai in the United Arab Emirates while trafficking drugs in 2003.,IRNA reported that Gomshadzehi helped a policeman and was captive in Dubai in the United Arab Emirates while trafficking drugs in 2003.,2,2
intransitive-motion,schematic,IRNA reported that Gomshadzehi killed a policeman and then ESCAPED to Dubai in the United Arab Emirates while trafficking drugs in 2003.,It was report by IRNA that Gomshadzehi escaped to Dubai in the United Arab Emirates after killing a policeman while trafficking drugs in 2003.,0,0
intransitive-motion,schematic,Armed troops MARCHED to the substations and turned the power back on.,Armed troops MARCHED to the substations that powered over half of the city.,1,0
intransitive-motion,schematic,Armed troops MARCHED to the substations and turned the power back on.,Armed troops left the substations and turned the power off.,2,2
intransitive-motion,schematic,Armed troops MARCHED to the substations and turned the power back on.,The power was turned back on by armed troops that marched to the substations.,0,0
caused-motion,schematic,The Vietnam News Agency said Australian national Tran Van Thanh was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network SMUGGLING heroin from Cambodia to Australia via Vietnam.,"The Vietnam News Agency, which has earned several prizes for journalism, said Australian national Tran Van Thanh was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network SMUGGLING heroin.",1,0
caused-motion,schematic,The Vietnam News Agency said Australian national Tran Van Thanh was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network SMUGGLING heroin from Cambodia to Australia via Vietnam.,The Vietnam News Agency said Australian national Tran Van Thanh was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network hoarding and keeping heroin strictly in Cambodia.,2,2
caused-motion,schematic,The Vietnam News Agency said Australian national Tran Van Thanh was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network SMUGGLING heroin from Cambodia to Australia via Vietnam.,"Tran Van Thanh, an Australian national, was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network smuggling heroin from Cambodia to Australia via Vietnam said the Vietnam News Agency.",0,0
caused-motion,schematic,Myanmar has no reported H5N1 cases but Indian officials suspect that poultry could be SMUGGLED through Myanmar from Thailand.,Poultry smuggling from Thailand is the main way that disease and crime spreads to Myanmar.,1,1
caused-motion,schematic,Myanmar has no reported H5N1 cases but Indian officials suspect that poultry could be SMUGGLED through Myanmar from Thailand.,Myanmar has reported H5N1 cases but Indian officials suspect that poultry could be removed from Myanmar to Thailand.,2,1
caused-motion,schematic,Myanmar has no reported H5N1 cases but Indian officials suspect that poultry could be SMUGGLED through Myanmar from Thailand.,Indian officials suspect that poultry could be smuggled through Myanmar from Thailand even though there's no reported H5N1 cases in Myanmar.,0,0
caused-motion,schematic,"After the seven hundred passengers on the train were stranded for two hours , they were GUIDED through the tunnels to a safe place .","After the seven hundred passengers on the train were stranded for two hours, they were determined to find another way to get to work.",1,1
caused-motion,schematic,"After the seven hundred passengers on the train were stranded for two hours , they were GUIDED through the tunnels to a safe place .","After the seven hundred passengers on the train were stranded for two hours , they were led away from the tunnels to a safe place .",2,0
caused-motion,schematic,"After the seven hundred passengers on the train were stranded for two hours , they were GUIDED through the tunnels to a safe place .","Seven hundred passengers were guided through the tunnels to a safe place, after they were stranded on the train for two hours.",0,0
caused-motion,schematic,If any of you think that someone from Headquarters Marine Corps care about you once they KICK you out the door talk to a retiree.,"If any of you think that someone from Headquarters Marine Corps care about you once you retire, then check out how many retirees live in Florida.",1,1
caused-motion,schematic,If any of you think that someone from Headquarters Marine Corps care about you once they KICK you out the door talk to a retiree.,"If any of you think that someone from Headquarters Marine Corps care about you once they kick you out the door, don't bother talking to a retiree.",2,0
caused-motion,schematic,If any of you think that someone from Headquarters Marine Corps care about you once they KICK you out the door talk to a retiree.,Talk to a retiree if any of you think that someone from Headquarters Marine Corps care about you once they kick you out the door.,0,0
caused-motion,schematic,I can't WRAP my head around how any of this was allowed to happen.,It is challenging for them to understand what is allowed to happen.,1,0
caused-motion,schematic,I can't WRAP my head around how any of this was allowed to happen.,I can understand perfectly how this was allowed to happen.,2,2
caused-motion,schematic,I can't WRAP my head around how any of this was allowed to happen.,"How any of this was allowed to happen, I can't wrap my head around.",0,0
caused-motion,schematic,The MiG-25 FIRED an AAM at the Predator.,The MiG-25 is well-equipped compared to the Predator.,1,0
caused-motion,schematic,The MiG-25 FIRED an AAM at the Predator.,The MiG-25 ceased fire at the Predator.,2,2
caused-motion,schematic,The MiG-25 FIRED an AAM at the Predator.,The Predator had an AAM fired at them by the MiG-25.,0,0
caused-motion,schematic,"Pope was FLOWN to the U.S. military base at Ramstein, Germany.","Pope was FLOWN to the U.S. military base in Germany, where he stayed for weeks.",1,1
caused-motion,schematic,"Pope was FLOWN to the U.S. military base at Ramstein, Germany.","Pope didn't fly to the U.S. military base at Ramstein, Germany.",2,0
caused-motion,schematic,"Pope was FLOWN to the U.S. military base at Ramstein, Germany.","It was the military base at Ramstein, Germany that Pope was flown to.",0,0
caused-motion,schematic,Australian Schapelle Corby was convicted of TRAFFICKING marijuana into Bali and jailed for 20 years.,"Schapelle Corby, who was Australian, got caught and was imprisoned for something illegal.",1,0
caused-motion,schematic,Australian Schapelle Corby was convicted of TRAFFICKING marijuana into Bali and jailed for 20 years.,Australian Schapelle Corby was convicted of removing marijuana from Bali and jailed for 20 years.,2,2
caused-motion,schematic,Australian Schapelle Corby was convicted of TRAFFICKING marijuana into Bali and jailed for 20 years.,Australian Schapelle Corby was jailed for 20 years because he was convicted of trafficking marijuana into Bali.,0,0
caused-motion,schematic,The Pakistan-born man was then DEPORTED to the United Kingdom on 070713.,The man from Pakistan went against his will to the United Kingdom for a crime committed.,1,2
caused-motion,schematic,The Pakistan-born man was then DEPORTED to the United Kingdom on 070713.,The Pakistan-born man was then allowed to stay in the United Kingdom on 070713.,2,2
caused-motion,schematic,The Pakistan-born man was then DEPORTED to the United Kingdom on 070713.,On 070713 the Pakistan-born man was then deported to the United Kingdom.,0,0
caused-motion,schematic,The pilot refused to ALLOW the Pakistan-born man onto the pilot's plane.,The Pakistan-born man was a threat to the pilot on the pilot's plane.,1,0
caused-motion,schematic,The pilot refused to ALLOW the Pakistan-born man onto the pilot's plane.,The pilot insisted on allowing the Pakistan-born man onto the pilot's plane.,2,2
caused-motion,schematic,The pilot refused to ALLOW the Pakistan-born man onto the pilot's plane.,The Pakistan-born man was refused by the pilot to be allowed onto the pilot's plane.,0,0
caused-motion,schematic,"China confirmed on January 23, 2007 after 12 days of silence that China had FIRED a guided missile into space to destroy one of its satellites.","China confirmed on January 23, 2007 after 12 days of silence that China had FIRED a guided missile, JL-2 ""Ju Lang"" 2, into space.",1,0
caused-motion,schematic,"China confirmed on January 23, 2007 after 12 days of silence that China had FIRED a guided missile into space to destroy one of its satellites.","China denied on January 23, 2007 after 12 days of noise that China had fired a guided missile into space to destroy one of its satellites.",2,2
caused-motion,schematic,"China confirmed on January 23, 2007 after 12 days of silence that China had FIRED a guided missile into space to destroy one of its satellites.","China had fired a guided missile into space to destroy one of its satellites then confirmed this on January 23, 2007 after 12 days of silence.",0,0
caused-motion,schematic,"Chinese officials stated on May 14, 2007 that China had LAUNCHED a Chinese manufactured communications satellite into orbit on behalf of Nigeria.",It was reported on the Chinese news in May of 2007 that China had sent a Chinese satellite into space to fulfill Nigeria's needs of communication.,1,0
caused-motion,schematic,"Chinese officials stated on May 14, 2007 that China had LAUNCHED a Chinese manufactured communications satellite into orbit on behalf of Nigeria.","Chinese officials stated on May 14, 2007 that China had returned a Chinese manufactured communications satellite from orbit back to earth on behalf of Nigeria.",2,2
caused-motion,schematic,"Chinese officials stated on May 14, 2007 that China had LAUNCHED a Chinese manufactured communications satellite into orbit on behalf of Nigeria.","A Chinese manufactured communications satellite was launched into orbit by China on behalf of Nigeria the Chinese officials stated on May 14, 2007.",0,0
causative-with-CxN,partial,Kevin lifted the trumpet and filled the room with happy noise.,Kevin lifted the trumpet and played to an audience that filled the room.,1,0
causative-with-CxN,partial,Kevin lifted the trumpet and filled the room with happy noise.,Kevin lowered the trumpet and filled the room with silence.,2,2
causative-with-CxN,partial,Kevin lifted the trumpet and filled the room with happy noise.,Kevin lifted the trumpet and made happy noise in the room.,0,0
causative-with-CxN,partial,Dude has filled the room with flowers and teddy bears and cheesy cards.,A man filled the room with sweet things for his significant other.,1,0
causative-with-CxN,partial,Dude has filled the room with flowers and teddy bears and cheesy cards.,Dude has emptied the room of flowers and teddy bears and cheesy cards.,2,2
causative-with-CxN,partial,Dude has filled the room with flowers and teddy bears and cheesy cards.,Dude has moved flowers and teddy bears and cheesy cards into the room.,0,0
causative-with-CxN,partial,An enormous chandelier filled the room with a stunning display of reflected light.,The room had a grand crystal chandelier displayed in its center.,1,0
causative-with-CxN,partial,An enormous chandelier filled the room with a stunning display of reflected light.,A small chandelier filled the room with an ordinary display of reflected light.,2,2
causative-with-CxN,partial,An enormous chandelier filled the room with a stunning display of reflected light.,A stunning display of reflected light filled the room from the enormous chandeleir.,0,0
causative-with-CxN,partial,"Freshly ground coffee beans filled the room with a seductive, earthy aroma.",Aromatic coffee beans were ground for a fresh cup of coffee.,1,0
causative-with-CxN,partial,"Freshly ground coffee beans filled the room with a seductive, earthy aroma.","Stale whole coffee beans filled the room with an unattractive, otherworldly scent.",2,2
causative-with-CxN,partial,"Freshly ground coffee beans filled the room with a seductive, earthy aroma.","The room was filled with a seductive, earthly aroma from freshly ground coffee beans.",0,0
causative-with-CxN,partial,The Grateful Dead have flooded the market with excellent live material.,The Grateful Dead have put out live recordings of their best concert that took place at a market flooded with fans.,1,1
causative-with-CxN,partial,The Grateful Dead have flooded the market with excellent live material.,The Grateful Dead have not released any good live material on the market.,2,2
causative-with-CxN,partial,The Grateful Dead have flooded the market with excellent live material.,Excellent live material has flooded the market from The Grateful Dead.,0,0
causative-with-CxN,partial,Samsung has flooded the market with their advertising.,"Samsung has flooded the market with tasteful, funny ads.",1,1
causative-with-CxN,partial,Samsung has flooded the market with their advertising.,Samsung has held back with their advertising.,2,2
causative-with-CxN,partial,Samsung has flooded the market with their advertising.,The market is flooded with Samsung's advertising.,0,0
causative-with-CxN,partial,Saudi flooded the market with cheap oil then so they could recover their market share.,Saudi flooded the market with cheap oil that was sold to at least five countries.,1,1
causative-with-CxN,partial,Saudi flooded the market with cheap oil then so they could recover their market share.,Saudi reduced the market's supply of cheap oil so they could deteriorate their market share.,2,2
causative-with-CxN,partial,Saudi flooded the market with cheap oil then so they could recover their market share.,"To recover their market share, Saudi flooded the market with cheap oil.",0,0
causative-with-CxN,partial,The Chinese already have flooded the market with juice-grade apples.,"The Chinese have the largest, juiciest apples on the market.",1,1
causative-with-CxN,partial,The Chinese already have flooded the market with juice-grade apples.,The Chinese already have under produced in the market with juice-grade apples.,2,2
causative-with-CxN,partial,The Chinese already have flooded the market with juice-grade apples.,Juice-grade apples have already been flooded in the market by the Chinese.,0,0
causative-with-CxN,partial,Turning to the wall he covered his face with a pillow.,He turned his face to the wall and covered it out of embarrassment.,1,0
causative-with-CxN,partial,Turning to the wall he covered his face with a pillow.,Turning away fromt he wall he uncovered his face with a pillow.,2,2
causative-with-CxN,partial,Turning to the wall he covered his face with a pillow.,He covered his face with a pillow as he turned toward the wall.,0,0
causative-with-CxN,partial,"The school filled his head with knowledge, challenged him with tests, quizzes, and homework.","The school imparted pertinent, real-world knowledge and challenged him with tests, quizzes and homework.",1,0
causative-with-CxN,partial,"The school filled his head with knowledge, challenged him with tests, quizzes, and homework.","The school emptied his head of knowledge, easing him with tests, quizzes, and homework.",2,2
causative-with-CxN,partial,"The school filled his head with knowledge, challenged him with tests, quizzes, and homework.","The school challenged him with tests, quizzes, and homework, filled his head with knowledge.",0,0
causative-with-CxN,partial,"Susan trapped him, filled his head with lies.","Susan was a trapper by trade, specializing in mink hats.",1,2
causative-with-CxN,partial,"Susan trapped him, filled his head with lies.","Susan let him free, cleared his head of lies.",2,2
causative-with-CxN,partial,"Susan trapped him, filled his head with lies.","Susan filled his head with lies, trapped him.",0,0
causative-with-CxN,partial,"They made him take pills that filled his head with cold, silent noise.",They made him take pills that were supposed to ease his headache.,1,2
causative-with-CxN,partial,"They made him take pills that filled his head with cold, silent noise.","They made him give away pills that emptied his head of cold, silent noise.",2,2
causative-with-CxN,partial,"They made him take pills that filled his head with cold, silent noise.","His head was filled with cold, silent noise from pills they made him take.",0,0
causative-with-CxN,partial,One of the teachers came along and covered her body with a black sheet.,"There are other teachers, but one was trying to conceal her body with a sheet.",1,0
causative-with-CxN,partial,One of the teachers came along and covered her body with a black sheet.,One of the teachers left after removing a black sheet from her body.,2,2
causative-with-CxN,partial,One of the teachers came along and covered her body with a black sheet.,One of the teachers covered her body with a black sheet after she came along.,0,0
causative-with-CxN,partial,Howze filled her house with music and color.,Howze was the best roommate she had ever had.,1,1
causative-with-CxN,partial,Howze filled her house with music and color.,Howze emptied her house of music and color.,2,2
causative-with-CxN,partial,Howze filled her house with music and color.,The house was filled with music and color by Howze.,0,0
causative-with-CxN,partial,The cork came out with a pleasant pop and he filled her glass with the rich red liquid.,The red wine bottle was opened by him and he poured her a glass full of it.,1,0
causative-with-CxN,partial,The cork came out with a pleasant pop and he filled her glass with the rich red liquid.,The cork came out with a horrible pop and he emptied her glass of the rich red liquid.,2,2
causative-with-CxN,partial,The cork came out with a pleasant pop and he filled her glass with the rich red liquid.,He filled her glass with the rich red liquid that came from opening the cork with a pleasant pop.,0,0
causative-with-CxN,partial,The waiter filled her glass with white wine.,She ordered the white wine in a glass.,1,0
causative-with-CxN,partial,The waiter filled her glass with white wine.,The waiter emptied her glass of white wine.,2,2
causative-with-CxN,partial,The waiter filled her glass with white wine.,Her glass was filled with white wine by the waiter.,0,0
causative-with-CxN,partial,Virginia Woolf filled her pockets with rocks and walked into a river.,"After filling her pockets with rocks, Virginia Woolf walked into a river famous for its clear waters.",1,0
causative-with-CxN,partial,Virginia Woolf filled her pockets with rocks and walked into a river.,Virginia Woolf emptied her pockets of rocks and walked away from the river.,2,2
causative-with-CxN,partial,Virginia Woolf filled her pockets with rocks and walked into a river.,Virginia Woolf walked into a river after filling her pockets with rocks.,0,0
causative-with-CxN,partial,A blizzard soon covered their bodies with snow.,Blizzards can be fun for children playing in the snow.,1,1
causative-with-CxN,partial,A blizzard soon covered their bodies with snow.,A blizzard soon took snow away from their bodies.,2,2
causative-with-CxN,partial,A blizzard soon covered their bodies with snow.,Their bodies were soon covered with snow from the blizzard.,0,0
comparative-correlative,partial,"The harder they come, the harder they fall.",They are likely to be injured if they fall hard.,1,0
comparative-correlative,partial,"The harder they come, the harder they fall.",How hard they fall is dependent on their actions.,0,1
comparative-correlative,partial,"The harder they come, the harder they fall.",They will fall softly regardless of how hard they come at me.,2,1
comparative-correlative,partial,"The longer he is around, the more miserable I will be.",He has a very annoying voice.,1,1
comparative-correlative,partial,"The longer he is around, the more miserable I will be.","If he is around longer today, I will probably not enjoy myself.",0,0
comparative-correlative,partial,"The longer he is around, the more miserable I will be.",I'm happiest on the days where he is around a lot.,2,2
comparative-correlative,partial,"The more I studied, the less I understood.",I studied a lot for my recent exams.,1,1
comparative-correlative,partial,"The more I studied, the less I understood.",I got more confused as I studied.,0,0
comparative-correlative,partial,"The more I studied, the less I understood.",I felt like my studying helped me really grasp the subject.,2,2
comparative-correlative,partial,"It seems the older the patient, the less effective the drug.",This drug can be harmful for older patients.,1,0
comparative-correlative,partial,"It seems the older the patient, the less effective the drug.",This drug is best suited for treating patients who are on the younger side.,0,2
comparative-correlative,partial,"It seems the older the patient, the less effective the drug.",Ideally patients that take this drug are advanced in age.,2,0
comparative-correlative,partial,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.",Waiting longer for healthcare will make it more expensive to implement.,1,0
comparative-correlative,partial,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.",Putting off adequate healthcare will not serve the people's best interests.,0,0
comparative-correlative,partial,"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it.",It's probably best to keep putting off applying healthcare reforms.,2,2
comparative-correlative,partial,"The more bureaucrats run charities, the more people who need them.",Bureaucrats are always greedy.,1,1
comparative-correlative,partial,"The more bureaucrats run charities, the more people who need them.",Bureaucrats are always greedy.,0,1
comparative-correlative,partial,"The more bureaucrats run charities, the more people who need them.",Bureaucrats are always greedy.,2,1
comparative-correlative,partial,"The more expensive the decision, the more will senior management be involved.",Senior management is always micromanaging our decisions.,1,1
comparative-correlative,partial,"The more expensive the decision, the more will senior management be involved.",Senior management likes to oversee decisions that are most likely to cost a lot of money.,0,0
comparative-correlative,partial,"The more expensive the decision, the more will senior management be involved.",Senior management doesn't care much about the cost of potential decisions.,2,2
comparative-correlative,partial,"Now then, the faster that we can do this, the faster we can get on with the game.",The game will be fun.,1,1
comparative-correlative,partial,"Now then, the faster that we can do this, the faster we can get on with the game.",We have to do this before the game can start.,0,0
comparative-correlative,partial,"Now then, the faster that we can do this, the faster we can get on with the game.",We don't have to do this before the game starts.,2,2
comparative-correlative,partial,"The more snow, the less danger there is to skiers.",More snow makes skiers go faster down the slopes.,1,1
comparative-correlative,partial,"The more snow, the less danger there is to skiers.",It's most safe to ski if there has been a substantial snowfall recently.,0,0
comparative-correlative,partial,"The more snow, the less danger there is to skiers.",It is too dangerous to ski on days when there was heavy snow recently.,2,0
comparative-correlative,partial,"The more they work, the more I will pay them.",My workers always work very hard.,1,0
comparative-correlative,partial,"The more they work, the more I will pay them.",I intend to compensate my workers based on their amount of work.,0,0
comparative-correlative,partial,"The more they work, the more I will pay them.",I never pay my workers.,2,2
